method,data,num_subject,num_room,num_conflict,run,start,end,duration,status
mip,data_20_4_40_(4).txt,20,4,40,1,1675321364.1854632,1675321482.42398,118.23851680755615,1
mip,data_20_4_60_(0).txt,20,4,60,1,1675321525.4922104,1675321532.896708,7.4044976234436035,0
mip,data_20_4_60_(1).txt,20,4,60,1,1675321532.8967655,1675321642.8182693,109.92150378227234,0
mip,data_20_4_60_(2).txt,20,4,60,1,1675321642.8183236,1675321649.0524623,6.23413872718811,0
mip,data_20_4_60_(3).txt,20,4,60,1,1675321649.052509,1675321656.4046192,7.352110147476196,0
mip,data_20_4_60_(4).txt,20,4,60,1,1675321656.4046774,1675321662.3462863,5.941608905792236,0
mip,data_20_4_80_(0).txt,20,4,80,1,1675321679.4194274,1675321799.1556015,119.7361741065979,1
mip,data_20_4_80_(1).txt,20,4,80,1,1675321799.155691,1675321808.1471431,8.99145221710205,0
mip,data_20_4_80_(2).txt,20,4,80,1,1675321808.147201,1675321814.4392803,6.292079210281372,0
mip,data_20_4_80_(3).txt,20,4,80,1,1675321814.4393337,1675321820.4958348,6.056501150131226,0
mip,data_20_4_80_(4).txt,20,4,80,1,1675321820.4958985,1675321841.5136695,21.017771005630493,0
mip,data_30_6_40_(0).txt,30,6,40,1,1675321962.3018446,1675321982.6220114,20.32016682624817,0
mip,data_30_6_40_(1).txt,30,6,40,1,1675321982.6221228,1675321996.2600818,13.637959003448486,0
mip,data_30_6_40_(2).txt,30,6,40,1,1675321996.2601588,1675322009.0411348,12.780976057052612,0
mip,data_30_6_40_(3).txt,30,6,40,1,1675322009.04119,1675322123.2238083,114.1826183795929,1
mip,data_30_6_40_(4).txt,30,6,40,1,1675322123.2238677,1675322137.7488136,14.524945974349976,0
mip,data_30_6_60_(0).txt,30,6,60,1,1675322496.7279403,1675322615.2071638,118.47922348976135,1
mip,data_30_6_60_(1).txt,30,6,60,1,1675322615.2072346,1675322732.4792004,117.2719657421112,1
mip,data_30_6_60_(2).txt,30,6,60,1,1675322732.4792528,1675322850.72161,118.24235725402832,1
mip,data_30_6_60_(3).txt,30,6,60,1,1675322850.7216861,1675322967.9183815,117.19669532775879,1
mip,data_30_6_60_(4).txt,30,6,60,1,1675322967.918436,1675323086.0009696,118.08253359794617,1
mip,data_30_6_80_(0).txt,30,6,80,1,1675323172.7227879,1675323192.4728725,19.75008463859558,0
mip,data_30_6_80_(1).txt,30,6,80,1,1675323192.4729517,1675323311.6113887,119.13843703269958,1
mip,data_30_6_80_(2).txt,30,6,80,1,1675323311.6114411,1675323430.458689,118.847247838974,1
mip,data_30_6_80_(3).txt,30,6,80,1,1675323430.4587574,1675323547.6842327,117.2254753112793,1
mip,data_30_6_80_(4).txt,30,6,80,1,1675323547.6843057,1675323653.100651,105.4163453578949,0
mip,data_40_8_60_(0).txt,40,8,60,1,1675325310.4865813,1675325382.5379374,72.05135607719421,0
mip,data_40_8_60_(1).txt,40,8,60,1,1675325382.5380032,1675325483.898549,101.36054587364197,1
mip,data_40_8_60_(2).txt,40,8,60,1,1675325483.8986547,1675325530.85051,46.951855182647705,0
mip,data_40_8_60_(3).txt,40,8,60,1,1675325530.8506439,1675325611.8764782,81.02583432197571,0
mip,data_40_8_60_(4).txt,40,8,60,1,1675325611.8765848,1675325716.4000695,104.52348470687866,1
mip,data_40_8_80_(0).txt,40,8,80,1,1675325795.285291,1675325907.1239574,111.8386664390564,1
mip,data_40_8_80_(1).txt,40,8,80,1,1675325907.1240332,1675326014.3316274,107.20759415626526,1
mip,data_40_8_80_(2).txt,40,8,80,1,1675326014.3317194,1675326130.6252692,116.29354977607727,1
mip,data_40_8_80_(3).txt,40,8,80,1,1675326130.625373,1675326233.7188094,103.09343647956848,1
mip,data_40_8_80_(4).txt,40,8,80,1,1675326233.7189474,1675326345.227946,111.50899863243103,1
mip,data_40_8_120_(0).txt,40,8,120,1,1675326449.6047118,1675326494.1555808,44.55086898803711,0
mip,data_40_8_120_(1).txt,40,8,120,1,1675326494.1556668,1675326609.7924912,115.63682436943054,1
mip,data_40_8_120_(2).txt,40,8,120,1,1675326609.7925653,1675326649.8449667,40.052401304244995,0
mip,data_40_8_120_(3).txt,40,8,120,1,1675326649.845077,1675326766.1085398,116.26346278190613,1
mip,data_40_8_120_(4).txt,40,8,120,1,1675326766.108614,1675326884.210665,118.10205101966858,1
mip,data_50_10_80_(0).txt,50,10,80,1,1675326951.3498127,1675327051.2858016,99.93598890304565,1
mip,data_50_10_80_(1).txt,50,10,80,1,1675327051.2858768,1675327141.9599032,90.67402648925781,1
mip,data_50_10_80_(2).txt,50,10,80,1,1675327141.9599938,1675327242.3004992,100.340505361557,1
mip,data_50_10_80_(3).txt,50,10,80,1,1675327242.3007545,1675327345.4147866,103.11403203010559,1
mip,data_50_10_80_(4).txt,50,10,80,1,1675327345.4148903,1675327451.3794796,105.9645893573761,6
mip,data_50_10_120_(0).txt,50,10,120,1,1675328094.3112605,1675328197.382142,103.07088160514832,1
mip,data_50_10_120_(1).txt,50,10,120,1,1675328197.3822453,1675328315.4173267,118.03508138656616,1
mip,data_50_10_120_(2).txt,50,10,120,1,1675328315.417519,1675328423.865918,108.44839882850647,1
mip,data_50_10_120_(3).txt,50,10,120,1,1675328423.8659806,1675328527.6692712,103.80329060554504,1
mip,data_50_10_120_(4).txt,50,10,120,1,1675328527.6693547,1675328635.825641,108.15628623962402,1
cp,data_10_2_4_(0).txt,10,2,4,1,1675382452.6325178,1675382453.2615137,0.6289958953857422,4
cp,data_10_2_4_(0).txt,10,2,4,2,1675382453.2615745,1675382453.8949926,0.633418083190918,4
cp,data_10_2_4_(0).txt,10,2,4,3,1675382453.8950436,1675382454.572685,0.6776413917541504,4
cp,data_10_2_4_(0).txt,10,2,4,4,1675382454.572739,1675382455.2331913,0.6604523658752441,4
cp,data_10_2_4_(0).txt,10,2,4,5,1675382455.233284,1675382455.8916512,0.6583671569824219,4
cp,data_10_2_4_(1).txt,10,2,4,1,1675382455.8917065,1675382455.9569707,0.06526422500610352,4
cp,data_10_2_4_(1).txt,10,2,4,2,1675382455.9571123,1675382456.0264347,0.06932234764099121,4
cp,data_10_2_4_(1).txt,10,2,4,3,1675382456.0265334,1675382456.104676,0.07814264297485352,4
cp,data_10_2_4_(1).txt,10,2,4,4,1675382456.1047375,1675382456.1752722,0.07053470611572266,4
cp,data_10_2_4_(1).txt,10,2,4,5,1675382456.1753275,1675382456.237761,0.062433481216430664,4
cp,data_10_2_4_(2).txt,10,2,4,1,1675382456.2378793,1675382457.3282409,1.0903615951538086,4
cp,data_10_2_4_(2).txt,10,2,4,2,1675382457.328318,1675382458.2652879,0.9369697570800781,4
cp,data_10_2_4_(2).txt,10,2,4,3,1675382458.2653735,1675382459.3606968,1.0953233242034912,4
cp,data_10_2_4_(2).txt,10,2,4,4,1675382459.36078,1675382460.6413634,1.280583381652832,4
cp,data_10_2_4_(2).txt,10,2,4,5,1675382460.6414363,1675382461.648911,1.007474660873413,4
cp,data_10_2_4_(3).txt,10,2,4,1,1675382461.649003,1675382461.7178407,0.06883764266967773,4
cp,data_10_2_4_(3).txt,10,2,4,2,1675382461.7180426,1675382461.7817125,0.06366991996765137,4
cp,data_10_2_4_(3).txt,10,2,4,3,1675382461.7818174,1675382461.855738,0.07392048835754395,4
cp,data_10_2_4_(3).txt,10,2,4,4,1675382461.855871,1675382461.9246044,0.06873345375061035,4
cp,data_10_2_4_(3).txt,10,2,4,5,1675382461.924749,1675382461.9904094,0.06566047668457031,4
cp,data_10_2_4_(4).txt,10,2,4,1,1675382461.9905307,1675382462.575298,0.5847673416137695,4
cp,data_10_2_4_(4).txt,10,2,4,2,1675382462.5753634,1675382463.166689,0.5913255214691162,4
cp,data_10_2_4_(4).txt,10,2,4,3,1675382463.1667569,1675382463.7414935,0.5747365951538086,4
cp,data_10_2_4_(4).txt,10,2,4,4,1675382463.7415426,1675382464.3934197,0.6518771648406982,4
cp,data_10_2_4_(4).txt,10,2,4,5,1675382464.3935404,1675382464.905806,0.512265682220459,4
cp,data_10_2_12_(0).txt,10,2,12,1,1675382480.1337526,1675382490.5123427,10.378590106964111,4
cp,data_10_2_12_(0).txt,10,2,12,2,1675382490.5124302,1675382499.9363136,9.423883438110352,4
cp,data_10_2_12_(0).txt,10,2,12,3,1675382499.9363904,1675382508.97375,9.037359714508057,4
cp,data_10_2_12_(0).txt,10,2,12,4,1675382508.973805,1675382517.7598014,8.785996437072754,4
cp,data_10_2_12_(0).txt,10,2,12,5,1675382517.7598765,1675382525.737718,7.97784161567688,4
cp,data_10_2_12_(1).txt,10,2,12,1,1675382525.7377973,1675382525.8981009,0.16030359268188477,4
cp,data_10_2_12_(1).txt,10,2,12,2,1675382525.8981712,1675382526.0403926,0.14222145080566406,4
cp,data_10_2_12_(1).txt,10,2,12,3,1675382526.0404987,1675382526.1652145,0.12471580505371094,4
cp,data_10_2_12_(1).txt,10,2,12,4,1675382526.165296,1675382526.290005,0.12470889091491699,4
cp,data_10_2_12_(1).txt,10,2,12,5,1675382526.2901075,1675382526.4450629,0.15495538711547852,4
cp,data_10_2_12_(2).txt,10,2,12,1,1675382526.4451234,1675382527.1820862,0.7369627952575684,4
cp,data_10_2_12_(2).txt,10,2,12,2,1675382527.1821384,1675382527.775925,0.5937864780426025,4
cp,data_10_2_12_(2).txt,10,2,12,3,1675382527.7759855,1675382528.475958,0.6999726295471191,4
cp,data_10_2_12_(2).txt,10,2,12,4,1675382528.4768245,1675382529.1270828,0.6502583026885986,4
cp,data_10_2_12_(2).txt,10,2,12,5,1675382529.127225,1675382529.823984,0.6967589855194092,4
cp,data_10_2_12_(3).txt,10,2,12,1,1675382529.8240848,1675382530.107513,0.2834281921386719,4
cp,data_10_2_12_(3).txt,10,2,12,2,1675382530.1075842,1675382530.247338,0.1397538185119629,4
cp,data_10_2_12_(3).txt,10,2,12,3,1675382530.2474196,1675382530.4099302,0.16251063346862793,4
cp,data_10_2_12_(3).txt,10,2,12,4,1675382530.4099894,1675382530.572748,0.16275858879089355,4
cp,data_10_2_12_(3).txt,10,2,12,5,1675382530.5728033,1675382530.739517,0.16671371459960938,4
cp,data_10_2_12_(4).txt,10,2,12,1,1675382530.7395744,1675382532.8287394,2.089164972305298,4
cp,data_10_2_12_(4).txt,10,2,12,2,1675382532.8288171,1675382535.1393044,2.3104872703552246,4
cp,data_10_2_12_(4).txt,10,2,12,3,1675382535.1393805,1675382536.9262512,1.7868707180023193,4
cp,data_10_2_12_(4).txt,10,2,12,4,1675382536.9263284,1675382538.529139,1.6028106212615967,4
cp,data_10_2_12_(4).txt,10,2,12,5,1675382538.5292215,1675382540.37209,1.8428685665130615,4
cp,data_10_2_24_(0).txt,10,2,24,1,1675383176.5837448,1675383176.6503875,0.06664276123046875,4
cp,data_10_2_24_(0).txt,10,2,24,2,1675383176.6504488,1675383176.6962743,0.04582548141479492,4
cp,data_10_2_24_(0).txt,10,2,24,3,1675383176.6963532,1675383176.7426255,0.04627227783203125,4
cp,data_10_2_24_(0).txt,10,2,24,4,1675383176.7426999,1675383176.79212,0.04942011833190918,4
cp,data_10_2_24_(0).txt,10,2,24,5,1675383176.7922006,1675383176.8389175,0.046716928482055664,4
cp,data_10_2_24_(1).txt,10,2,24,1,1675383176.8389962,1675383176.8901992,0.051203012466430664,4
cp,data_10_2_24_(1).txt,10,2,24,2,1675383176.8902614,1675383176.9500198,0.05975842475891113,4
cp,data_10_2_24_(1).txt,10,2,24,3,1675383176.9500942,1675383177.0173826,0.06728839874267578,4
cp,data_10_2_24_(1).txt,10,2,24,4,1675383177.0174434,1675383177.0924578,0.07501435279846191,4
cp,data_10_2_24_(1).txt,10,2,24,5,1675383177.0928633,1675383177.1505158,0.05765247344970703,4
cp,data_10_2_24_(2).txt,10,2,24,1,1675383177.1505966,1675383177.2058842,0.05528759956359863,4
cp,data_10_2_24_(2).txt,10,2,24,2,1675383177.2059557,1675383177.2591143,0.05315852165222168,4
cp,data_10_2_24_(2).txt,10,2,24,3,1675383177.2592049,1675383177.3166451,0.05744028091430664,4
cp,data_10_2_24_(2).txt,10,2,24,4,1675383177.3167224,1675383177.3625238,0.045801401138305664,4
cp,data_10_2_24_(2).txt,10,2,24,5,1675383177.3626049,1675383177.4172275,0.054622650146484375,4
cp,data_10_2_24_(3).txt,10,2,24,1,1675383177.4173255,1675383177.8633683,0.4460427761077881,4
cp,data_10_2_24_(3).txt,10,2,24,2,1675383177.8634248,1675383178.294373,0.43094825744628906,4
cp,data_10_2_24_(3).txt,10,2,24,3,1675383178.294424,1675383178.9239228,0.6294987201690674,4
cp,data_10_2_24_(3).txt,10,2,24,4,1675383178.9239826,1675383179.4941595,0.5701768398284912,4
